account,repository,startDay,endDay,state,thema
zafa384,jpy2025ax01p01,2021/9/23,2021/12/23,discussion,"Policy for creating the World Government Constitution
世界政府憲法作成のための政策"
idea,jpy2025ax01p02,,,offer,"Public broadcasting (NHK) reception contract obligation
公共放送(NHK)受信契約義務"
idea,jpy2025ay01p01,,,offer,"Ban on nuclear power generation
原子力発電の禁止"
idea,jpy2025ay01p02,,,offer,"Abolition of political neutrality in broadcasting
放送における政治的中立性の廃止"
,,,,idea,"Establishment of Broadcasting Ethics Committee
放送倫理委員会の設置"
,,,,idea,"Mandatory terrestrial satellite broadcasting of key stations
主要局の地上衛星放送の義務化"
,,,,idea,"Free arms assistance law for invaded countries
侵略国のための自由武器支援法"
,,,,idea,"Prohibition of ocean disposal of contaminated water from the Fukushima nuclear power plant accident
福島原子力発電所事故による汚染水の海洋処分の禁止"
,,,,idea,"Survey on attitudes towards marriage
結婚に対する意識調査"
,,,,idea,"Attitude survey on same-sex marriage
同性婚に関する意識調査"
,,,,idea,"Awareness survey on SNS
SNSでの意識調査"
,,,,idea,"Awareness survey regarding my number card
マイナンバーカードに関する意識調査"
,,,,idea,"Awareness survey regarding separate surnames for married couples
夫婦の別姓に関する意識調査"
,,,,,----------------------------------------
